@relation sentimen_twit 
@attribute term string 
@attribute target {positif, negatif, nonopini} 
@data
"rbt menerima untuk indosat ketik set brianovan1 untuk my angel ketik set brianovan2 kirim ",nonopini
"haha coba pindahkan ke hp lain jk masuk mengalami kendala yang harus ganti kartu di galeri indosat tks ",nonopini
"mampus dki sekarang indosat pusat ",nonopini
"di hp yang samsung haha ow xl kemana saya pakek indosat sekarang yang bb haha ",nonopini
"tower telkomsel dan indosat disegel warga ",nonopini
"beli voucher pulsa habis isbd langsung ke galeri indosat ",nonopini
"jes sori bisa balas saya indosat ada pulsa dua2ny nmrny ada pulsa paling paket internet saja haha ",nonopini
"bb pakai indosat ",nonopini
"push email bb xl kaliiii membuat indosat juga sepertinya ",nonopini
"ooo pin nomor masuk yang indosat to so mmng ada memang dari dp tablet ",nonopini
"galeri indosat yang bisa datangi dan berfoto narsis ",nonopini
"rt ralat axis xl dan indosat ",nonopini
"indosat sms terus nomor cantik terus nomor gantengnya ada apa ",nonopini
"single use plan yang ttg itu mair bhasnya kalau indosat yang standing plan atau single us ",nonopini
"ada cuma bwa indosat luh tidak-ada lempar hapeku gedeg saya ",nonopini
"temennya abe monitoring indosat dulunya ",nonopini
"ada sms dikira dari siapa begitu tautaunya indosat ",nonopini
"kanapa dengan indosat ndo haha indosat indosat ",nonopini
"harus cepet2 ke indosat ",nonopini
"indosat membuat saya mati muda ini ",negatif
"rt selamat pagii jakartaaa siapa yang siap siap cfdan lupa main ke booth indosat di depan wisma bni46 yukk ada bonus pulsa 40 ",nonopini
"kalau ke mm ke pgc di pgc sekarang ada galeri indosat soalnya panteees ke mm ",nonopini
"utha apaan iklan chelsea indosat gambar di voucher cuma dibuang2 madrid kacang kelinci nengok lucky haha ",nonopini
"terimakasih sampai ketemu di galeri indosat ",nonopini
"haha itu saya pakai indosat naa ",nonopini
"pakai indosat pakai xl penyakit bb user pasti kalau paketan bbm ada saya ",negatif
"beberapa perusahaan klien afsya kalimaya bekasi 087877646586 nsk polymatec mitra abadi indosat ",nonopini
"pertanyaan adalah program apa yang paling sukai dari indosat dan mengapa ",nonopini
"pakai indosat juga paket apa ok saya nunggu paket yang ini habis soalnya ",positif
"kasus im2 kejaksaan geledah indosat ",nonopini
"rumah dusun selamat tinggal indosat ",nonopini
"choose dare pakai indosat biaya hemat isi dompet selamat ",positif
"saya juga mau saya kuis ayo mau habisin pulsa indosat ",nonopini
"layanan im3 mentari matrix indosat mobile dan starone ",nonopini
"siprt penjualan murah indosat ke singapore oleh mega ketum pdip ",nonopini
"infojogja ini dia penawaran indosat senyum yang terbaru ",nonopini
"mahal sangat memangnya bukannya beda beda sedikit saja indosat heheh ",nonopini
"gakjadi ke galeri indosat jadinya ntn hunger games abroor ",nonopini
"indosat error yaaaaa ",negatif
"lancarr geh huu pendingan indosat tmenan yang telepon ",nonopini
"membuat indosat jabar husus sebagai ngdain event musik pngen lyla band ",nonopini
"indosat internet lambat sangat sperti biasanya ",negatif
"indosat gangguan ini bisa sms ",nonopini
"biru itu siapa wi xl saya pakai indosat wi nuri yang xl haha ",nonopini
"malu sangat saya ngecharge di service centernya indosat ketauan sangat gamodalnya wk ",nonopini
"emote apaan yani saya nyerah dan baik ganti provider indosat <makian> ",negatif
"promone kapan indosat gathering inggil dine ",nonopini
"galau paket bb mahal bisa pakai bb gaul indosat sebulan cuma 45rebu ",nonopini
"yeay ralat axis xl dan indosat ",nonopini
"beneran indosat bonusnya sedikit ",negatif
"saya jarang dapat sms dari indosat dapatkan nomor uchul ini dengan blablabla biasanya nomor cantik ",nonopini
"aduh yws derita deg nomor operator indosat telepon operator ",negatif
"ooow oklah rencananyo nak ngelamar ke telkomsel samo indosat kalu dari kwn sering ngumpul ",positif
"rt megawati ngoyo sangat coba inget dia jual indosat ke singapore ",nonopini
"indosat tmenan yang telepon hehhe telepon saya saja agar sneng ",nonopini
"haha beres bilangin diperpanjang terus gratisny andak ke indosat ",positif
"xl makanya agar bisa otpan nanti malam saya tia mau otpan indosat jaringannya membuat orang sebal ",negatif
"mankaknya usah aktifkan saja ini aktivasi paket dari kemarinkemarin gagaaal terus indosat gangguan katanya ",nonopini
"caranya yap kartu indosat layanan indosat mobile im3 sampai indosat internet bisa nikmati dengan mudah ",nonopini
"galeri indosat kelapa gading jakarta jakarta ",nonopini
"ah indosat bapet membuat emosi lama ",negatif
"huhuhu mudah2an bawa masalah ke pelayanan demi tuhan saya barusan saja topup kasus im2 kejaksaan geledah indosat ",nonopini
"makana itu masak dipijit katanya capek karena indosat pijet saja haha ",nonopini
"biasa di coffee break cafe ringroad depan pln smping kntor indosat ",nonopini
"cobaan di gasibu sekarang ada acara indosat im3 anti galau mun urg kaditu moal galau kitu ",nonopini
"pdip itu sesuai kepentingan biaya subsidi yang dibebankan untuk dari apbn bisa tergantikan dari penjualan indosat haha ",nonopini
"beh dsar jua anak gaul wkkw nanti saya mau pasang tower indosat rumahku brnabila haha ksian ",nonopini
"aneh indosat kata paket habis bisa twiteran bisa ",nonopini
"mirror koco wolok ngaju guk gukrt indosat ini ngaju ",negatif
"iyaahhh pakai kartu ayuk apalg itu yang bagus di kemayoran indosat telkomsel ",nonopini
"nuker poin indosat ke dominos apa burger king oleh potongan ",nonopini
"rt indosat ajak pelajar try out un di bioskop wartatangerang ",nonopini
"henfon sepi ada sms dari indosat ",nonopini
"haha jez indomie indosat ",nonopini
"bbm jdi 10ribu 30hari unlimited haha areef23 cacat yang nak demo minta turuni bbm ke telkomsel indosat xl ",nonopini
"faiit kerjanya di indosat mana nrima lowongan kerja praktek ",nonopini
